id,text,label,Comments
4347,@user takecare @user GODIN well,Non-toxic,
4348,@user GOATS 🐐🐐,Non-toxic,
4349,@user Γι' αυτό γουστάρουμε την μπάλα. Γι' αυτό γίναμε ΑΕΚ. 💛🖤💛🖤,Non-toxic,
4350,@user @user @user @user I miss you dude you were soo clear of vvd,Non-toxic,
4351,@user SPORT CLUB DO RECIFE,Non-toxic,
4352,@user God damn,Non-toxic,
4353,"@user @user Feliz cumpleanos, hermano! You were one of my favourite players in the last years! Cheers! 🥹😊",Non-toxic,
4354,@user Very right,Non-toxic,
4355,@user Μωρή παιχταρά Μπάμπα μπείτε μέσα και πάρτε την πρόκριση. Σας πιστεύουμε. Καλή επιτυχία! Πάμε Παοκαρα!!,Non-toxic,
4356,@user Baba we are happy to have you with us in the team,Non-toxic,
4357,@user you owe us a video message goodbye.,Non-toxic,
4358,@user ΕΙΣΑΙ ΤΡΕΛΟΣ,Toxic,
4359,@user @user @user @user @user @user @user @user y @user 🤨?,Non-toxic,
4360,@user Ένα ψαλίδι ζητήσαμε και να μας το κάνεις να πούμε αμεσα,Non-toxic,
4361,@user MVP of the season,Non-toxic,
4362,@user @user Rare Degsy W,Non-toxic,
4363,@user @user @user @user Ah Deggsy you brought me sunshine on a cloudy day🌞 Love use two's bromance❤️,Non-toxic,
4364,@user @user Miss you too!,Non-toxic,
4365,"@user shares his experience with @user on playing a crucial match in Marrakesh, 48hrs after the devastating earthquake hit that part of Morocco",Non-toxic,
4366,@user We believe you ☘️❤️ be healthy and strong .,Non-toxic,
4367,@user @user Thank you king 🙏🖤🤍🦅,Non-toxic,
4368,@user is scoring the winning goal😋,Non-toxic,
4369,@user IN IT GOES TOWARDS LOVREN!!OOOOOH HE'S DONE IT!!!!!!!,Non-toxic,
4370,@user @user take your time to recover lion🦁,Non-toxic,
4371,@user 3 in the net tonight by our number 11,Non-toxic,
4372,@user If only,Non-toxic,
4373,@user @user I remember in the beginning of the season when you came to play for the team. We weren't performing at a good level and when you entered the pitch you showed passion and you fought with everything you got. Your injury was heartbreaking. Wish you the best and always be strong ❤️,Non-toxic,
4374,@user Thanks 🇬🇷,Non-toxic,
4375,"@user Happy new year, Mike",Non-toxic,
4376,@user still my No.9,Non-toxic,
4377,@user @user We believe in you magic Filip,Non-toxic,
4378,@user @user Αγαπη μου εσυ 🖤🤍🏆,Non-toxic,
4379,@user Love you Filip🙏🙌👏👏✌️☘️☘️💚💚,Non-toxic,
4380,@user @user We won’t be buddy,Non-toxic,
4381,"@user @user You have shown on football pitch how poorly your treat supporters. By your ""great"" performance in a League and qualification to European cups. Disaster after disaster.",Toxic,
4382,"@user @user What is ""girl""? Sorry, I don't speak English.",Non-toxic,
4383,@user Very happy to see you recover.,Non-toxic,
4384,@user Yes you are and you are great!,Non-toxic,
4385,@user Παιχτουρα  μου,Non-toxic,
4386,@user welcome dude!,Non-toxic,
4387,@user he gets the same shit every Christmas.,Toxic,
4388,@user Speedy recovery soldier,Non-toxic,
4389,@user Good luck!,Non-toxic,
4390,"@user top player, i love you bro",Non-toxic,
4391,@user Μείνε ρε λακαμα,Non-toxic,
4392,"@user @user Not the most talented player but he gave his full energy and spirit to tve team. Thank you man. Once an eagle, always an eagle🦅🦅🦅",Non-toxic,
4393,@user blew the biggest shot you had at villa mate... nobody cares.,Non-toxic,
4394,@user i love you ❤️,Non-toxic,
4395,"@user Έτσι..τεράστια αποτυχία το χ με  αυτούς, αλλά συνεχίζουμε",Non-toxic,
4396,@user Y’all stay safe! HEROS ❤️,Non-toxic,
4397,@user ΕΙΣΑΙΙΙ ΔΥΝΑΜΗΗΗΗΗΗ,Non-toxic,
4398,"@user @user Feel happy for you! Good luck, Maestro",Non-toxic,
4399,@user @user @user You can submit a report for a flyaway incident by accessing the following link:,Non-toxic,
4400,@user Save this for the high performance podcast mate,Non-toxic,
4401,@user Έτσι ρε Ράχμαν!!Τα μυαλά μας πονάνε!!,Non-toxic,
4402,@user ΚΑΥΛΙΑΡΗ ΜΠΆΜΠΑ,Non-toxic,
4403,@user Keep going Bambi! Stay strong! ✊🏾🤍🖤🦅,Non-toxic,
4404,@user @user God luck  omar colley,Non-toxic,
4405,"@user @user If I had worked as you have played the last few months, I would not have been able to afford dinner. 🤬",Toxic,
4406,@user welcome to @user,Non-toxic,
4407,@user Come home #COYS #THFC #YIDDO,Non-toxic,
4408,@user ΚΤΗΝΟΣ ⚫️⚪️🦅,Non-toxic,
4409,@user Congrats MVP,Non-toxic,
4410,"@user Despite the fact that you're a bad player we still don't wish you bad, recover quickly and stay away from the national team forever",Toxic,
4411,"@user @user @user You know how big our club is in the European competitions, and you deserve our support. Let's go Filip! 🇷🇸☘️",Non-toxic,
4412,@user ΠΑΟΚ ρε μουνιά,Toxic,
4413,@user Filip it’s such an unlucky situation that you play for a club that are friends of CroatsAnd you don’t play for OLYMPIACOS (the orthodox brothers of DELIJE)🇬🇷🇷🇸,Non-toxic,
4414,"@user Goal and assist for the Chiq again, you are on fire lad. Can’t wait to have you back at Wolves next season.",Non-toxic,
4415,"@user ""To our coach"" it's funny. Our coach ? You don't respect him, you don't respect OUR club. Please Dejan, you're a right guy, I think i will like to talk with you about football and politic, food, music. But now, stop it please. You have the same level than @user player. Thanks !",Non-toxic,
4416,"@user All the best , get well soon 🤍",Non-toxic,
4417,@user Welcome in olimpiakos you will our King,Non-toxic,
4418,"@user Bringing you Godspeed recovery and strength on your way, bro. You’ll smile again in full🌸",Non-toxic,
4419,@user Άντε ρε Ραχμάν 💪,Non-toxic,
4420,@user Shut up your fighting relegation you bum,Toxic,
4421,@user very important player for usGod bless your family,Non-toxic,
4422,"@user we know who you are and we do not forget...No tear for the eagles of PAOK!!! HEADS UP BROTHER,TEAM AND FANS STRONG FOR THE NEXT BATTLES....🦅🦅🦅💪💪💪",Non-toxic,
4423,@user This is a perfect system to get the best out of Baba,Non-toxic,
4424,@user @user @user @user Lovely,Non-toxic,
4425,"@user Babare tell brokeman to bring  a player to rest you a little, because i see you to spit the lung next year",Toxic,
4426,@user Who asked bro,Non-toxic,
4427,@user You say you nor go play give us again erhhh….we hear you,Non-toxic,
4428,@user Εσύ να σαι καλά,Non-toxic,
4429,@user @user You made history in Lille!,Non-toxic,
4430,@user @user We love you Filip 💚☘️,Non-toxic,
4431,@user @user Good luck...,Non-toxic,
4432,@user @user Hope to see you back at the V one day champ 🏆💙,Non-toxic,
4433,@user @user Take care yourself eagle 🦅 best wishes 🙏 thanks for everything,Non-toxic,
4434,@user @user Thank you 💓🦅,Non-toxic,
4435,@user featured in the @user Team of the Week after his solid performance at RB for @user vs @user on Matchday 20 in Bundesliga 2 ☑️#bundesliga 2#teamOIS#Androutsos#vflosnabrück#TOTW,Non-toxic,
4436,@user @user Should never happen at a football match YNWA,Non-toxic,
4437,"@user Thanks Kris, We will remember your goals in Conference League. You definetly wrote the next chapter in the history of Lech Poznań 💙🤍Goodluck in your further career.",Non-toxic,
4438,@user τι παιχνίδι έκανες ρε παικταρά;;;;;; 💚☘️☘️☘️☘️☘️☘️☘️💚,Non-toxic,
4439,"@user Game day @user , I hope you comeback this evening...",Non-toxic,
4440,@user ☘️WHAT A SEASON! ⚽️ #paofc,Non-toxic,
4441,@user @user Wish you nothing but greatness,Non-toxic,
4442,"@user It’s better you quit playing football for now, don’t let it get to a different stage..",Toxic,
4443,@user You 🫵🏻,Non-toxic,
4444,@user @user Welcome🤍🖤,Non-toxic,
4445,@user @user Good luck big man take care 🙏🏻,Non-toxic,
4446,@user True. And we love him for that!,Non-toxic,
4447,"@user As fans of Lech Poznań we wish you all the best, develop yourself. Remember us, maybe we will see each other again. Good luck!💙🤍",Non-toxic,
4448,"@user At least, this week we are undefeated 💪🏻💪🏻💪🏻💪🏻This is the only way, YOU bunch of clowns, could be undefeated.You are the shame of OL, all of you... And you will ALL be remembered as the ones who led OL to Ligue 2 👇🏻",Toxic,
4449,@user WE NEED YOU IN THE TEAM please forgive the foolishness of some lousy fans,Non-toxic,
4450,"@user, today you show your worth to the Olympiacos faithful and help us grab a win 🙏",Non-toxic,
4451,@user @user Coco!!!! Still fully COYS,Non-toxic,
4452,"@user Εξελίσσεσαι σε άρρωστο ΠΑΟΚτσάκι Ράχμαν και δεν σου το είχα!  Καλή συνέχεια, να είστε όλοι υγιείς να μας κάνετε να ονειρευόμαστε! #Road_to_Athens #PAOKDZG #EuropaConference #ECL",Non-toxic,
4453,@user @user Keep it up magic Filip!!☘️,Non-toxic,
4454,@user @user Congrats 💛🖤💛🖤,Non-toxic,
4455,@user Our best wishes for a speedy recovery mate. We look forward to seeing again (and again) wining trophies with @user for many more years.,Non-toxic,
4456,@user @user @user @user Has Lovren always been a Pepsi ambassador or Mo got his buddy a new gig? Awesome all round,Non-toxic,
4457,@user @user Wawoo,Non-toxic,
4458,@user happy birthday my prince of darkness,Non-toxic,
4459,@user Sniper🇷🇸💦,Non-toxic,
4460,@user @user @user @user Lovren 😍,Non-toxic,
4461,@user @user @user - work your magic 😎,Non-toxic,
4462,"@user faz a festa e alegria de todos os jogadores do @user , a alegria dele contagia e o futebol mais ainda.Ο @user κάνει όλους τους παίκτες του @user χαρούμενους και χαρούμενους, η χαρά του είναι μεταδοτική και το ποδόσφαιρο ακόμα περισσότερο.",Non-toxic,
4463,@user i am DONE with martial FC,Non-toxic,
4464,@user @user King🦅🦅🦅🦅,Non-toxic,
4465,@user You are the best 🙏🙏🙏🙏,Non-toxic,
4466,@user @user Than you very much Orbelin! Thank you!,Non-toxic,
4467,@user Get well soon !!!,Non-toxic,
4468,@user big bro please be ready for the final i am praying for your fitness and health 🙏❤️,Non-toxic,
4469,@user hi mate fancy living in braunstone? @user can offer you £5 a week plus bonuses x,Non-toxic,
4470,@user Good one captain well deserved,Non-toxic,
4471,@user Captaino 🫡,Non-toxic,
4472,@user @user Thank you for sharing the same passion and love with us☘️💚👏,Non-toxic,
4473,@user @user on t’aime yusuf ❤️❤️,Non-toxic,
4474,@user We love you Dejan💘💘,Non-toxic,
4475,@user @user Yes Degsy lad 🤣,Non-toxic,
4476,@user Green is so hot man 💦☘️#paofc,Non-toxic,
4477,@user Αύριο γράφετε ιστορία. Εάν περάσετε η ομάδα για πρώτη φορά στην ιστορία της πάει σε ημιτελικό ευρωπαϊκής διοργάνωσης. Καλή επιτυχία Rahman ⚪⚫💪✌️,Non-toxic,
4478,"@user What a passion, great sportsmanship. Thank you Baba, keep up the good work!",Non-toxic,
4479,@user @user You are best friend to Beşiktaş,Non-toxic,
4480,"@user @user Congrats, you are a beast and I believe in you!☘️",Non-toxic,
4481,@user @user You are a fantastic player!!,Non-toxic,
4482,@user We so glad you're on our team man! Keep it up,Non-toxic,
4483,"@user @user You are invisible in derbys you have to show up against oly and aek. Improve your passing game, be more simple",Non-toxic,
4484,"@user Hello, Mbwana today is the best time to put a goal! Let's go for the championship!",Non-toxic,
4485,@user @user @user @user @user حمل,Non-toxic,
4486,@user v DortmundSalah v city Ox v cityMane v Arsenal 1st game seasontheres too fucking many,Non-toxic,
4487,@user Let’s go Filip !,Non-toxic,
4488,@user πες στον Φίλιπ γαμώ τον Ερυθρό Αστέρα του. Ξέρει εκείνος για ποιό λόγο,Toxic,
4489,@user @user You look ready for the premier league to me mate,Non-toxic,
4490,@user Gaiar,Non-toxic,
4491,@user God is great 🙏,Non-toxic,
4492,@user How come you are not always injured like you were at Spurs? When fit you were amazing,Non-toxic,
4493,@user left club but still your avi 🥺🥺🥺,Non-toxic,
4494,@user @user Please give everything you have to give PAOK the championship 🏆,Non-toxic,
4495,@user @user Miss you🥹💗,Non-toxic,
4496,@user @user Good luck KING 👑🦅,Non-toxic,
4497,@user Stay here forever champ🏆⚫️⚪️ . Champions League 🔜🔜,Non-toxic,
4498,@user  :),Non-toxic,
4499,@user Look after our boy Veliz. #COYS,Non-toxic,
4500,@user Just retire Why risk it if you rightfully invested the money you had in your previous signings. Safe yourself and enjoy the rest Thank you,Non-toxic,
4501,@user Always making us proud bro,Non-toxic,
4502,@user Best gk🐙🐙🐙,Non-toxic,
4503,@user Courage ❤️,Non-toxic,
4504,@user @user Come home?,Non-toxic,
4505,@user ☘☘☘ καυλιαρηη,Non-toxic,
4506,@user @user Μας έχει μισήσει ο Μυστικός Δείπνος.,Non-toxic,
4507,@user @user @user No one gives an f about that goal if you do not win the gameYou guys literally no idea where you playingChange your mindset,Toxic,
4508,"@user The time has come, to boost the team, once again, with your energy and spirit!""Humble attitude. Fighting spirit""⚫️⚪️",Non-toxic,
4509,@user you need yo stop rejecting moves away your a drain on this club you have contributed nothing please move on,Toxic,
4510,@user GN andrut,Non-toxic,
4511,@user @user 👏👏👏🦅🦅🦅 thank you colley,Non-toxic,
4512,@user Muslims are pathetic people everything is about them so annoying,Toxic,
4513,@user @user @user @user @user @user welcome to PAOK,Non-toxic,
4514,@user Take care your self and come back stronger baby 🥰,Non-toxic,
4515,"@user All the best, man! Never again!! Health and Happiness to you and your people!!",Non-toxic,
4516,"@user what was your reason to stay at United. You’re not wanted, you don’t wanna be there just please fuck off you useless lazy git.",Toxic,
4517,"@user @user Willian, God will bless us if @user sells the club.Pray with us!",Non-toxic,
4518,"@user Come back, King.",Non-toxic,
4519,@user @user @user @user Saudi Pro League:,Non-toxic,
4520,"@user go to the airport, take the plane to 🇹🇿, stay there!",Toxic,
4521,@user @user @user @user Besties,Non-toxic,
4522,"@user Filip, how did you chop them up like that? My stools and my balls",Non-toxic,
4523,@user the ad with MO was amazing! We miss you and We love you Lovren!,Non-toxic,
4524,@user Σ αγαπάμε ♥️🤍,Non-toxic,
4525,@user Φιλίπ φέρτε μας το κύπελλο!!,Non-toxic,
4526,@user andrut supremacy,Non-toxic,
4527,@user Stronger. May Allah be with you in this season for the best ♥️🔥,Non-toxic,
4528,"@user @user we love you colley,good luck 🖤🦅",Non-toxic,
4529,@user dospermione,Non-toxic,
4530,@user Well done Baba.,Non-toxic,
4531,"@user @user Don't worry man, keep up the great work!",Non-toxic,
4532,@user you busy today?,Non-toxic,
4533,@user Bro you make small money .. quiet 🤐 and retire,Toxic,
4534,@user and @user I loved these two so much. Wanted them to succeed at Barça so damn much.,Non-toxic,
4535,"@user Είσαι μεγάλη παικτουρα, ταυρι από αριστερά",Non-toxic,
4536,@user Legend 👑👑👑👑,Non-toxic,
4537,@user @user Big up dejan,Non-toxic,
4538,"@user Come home, Coco! 🤍",Non-toxic,
4539,@user @user Miss you too 💙,Non-toxic,
4540,@user We're extremely glad to see y'all landed safely!Now all focus on our noisy neighboursA most win game 💪🏾💪🏾💪🏾💪🏾💪🏾🙌🏼🙌🏼🙌🏼🤞🏾🤞🏾,Non-toxic,
4541,@user God bless brate.,Non-toxic,
4542,@user Πήγαινε για ύπνο και άσε το Τουίτερ 🤣🖤🤍🖤🫶,Non-toxic,
4543,@user Only love for you🖤🤍,Non-toxic,
4544,@user Κάντο όπως στο Πειραιά,Non-toxic,
4545,@user @user @user Θα παίξεις μπάλα γαμω τα μπρατε μου γαμω;,Toxic,
4546,@user Always happy when I see Baba doing well,Non-toxic,
4547,@user Time to post a new photo with your new jersey. Now you are PAOK...,Non-toxic,
4548,@user You are the best 🤍🖤🤍🖤,Non-toxic,
4549,@user @user goal scorer stopper thank you EagleColley,Non-toxic,
4550,@user All the very best for the Xmas season . Peace to the world 💐💐💐💐💐🇪🇬❤️🇭🇷,Non-toxic,
4551,@user Hoped you’d make it at CHELSEA,Non-toxic,
4552,@user What a finish!,Non-toxic,
4553,@user BABA ITS TIME FOR WAR!,Non-toxic,
4554,@user happy birthday fella big year next year for you ⭐️,Non-toxic,
4555,@user Παιχταρά!!🤍🖤🤍🖤,Non-toxic,
4556,"@user Για να δουμε θα καταφερεις σημερα να σπασεις το high score Παναγιας αφιερωμενης σε σενα; Το οριο παιζει στο over 8.5, στο 1.87. Για παμε.",Non-toxic,
4557,@user @user We miss you Erik,Non-toxic,
4558,@user @user Legend 👊,Non-toxic,
4559,@user All the best my friend! supporter Of AEK COME BACK TO YOUR TEAM SOON,Non-toxic,
4560,@user ΠΑΟΚ ΡΕ ΜΟΥΝΙΑ,Toxic,
4561,@user @user And I miss you 😭😭😭,Non-toxic,
4562,"@user @user Champion in many branches, the most beautiful team in the world, FENERBAHÇE 💪💪👊👊ARE YOU READY ?",Non-toxic,
4563,@user Ratio,Non-toxic,
4564,"@user Happy for you but black stars is not for your father, let the kids have their turn",Non-toxic,
4565,@user @user We miss you!! 💙,Non-toxic,
4566,@user ☘️ mvp season!!!,Non-toxic,
4567,@user Bro I’m a student and I would love you to assist me with a new laptop for studies please 🙏🏻@user,Non-toxic,
4568,@user @user Good luck big man.,Non-toxic,
4569,@user @user We miss you coco @user,Non-toxic,
4570,@user @user Please do it again.,Non-toxic,
4571,@user @user We miss you too 👍,Non-toxic,
4572,@user Brando on fire 🔥,Non-toxic,
4573,"@user @user Kris, tell us, who plays better on the wing - Tinder MVP or Henszi?",Non-toxic,
4574,@user Stay strong Filip. We are by your side. One fist.#paofc,Non-toxic,
4575,@user Thank you for everything Kris. Good luck in the Olympiacos.  You are a awesome player.,Non-toxic,
4576,@user @user @user @user I love it!,Non-toxic,
4577,@user Gains…,Non-toxic,
4578,@user thanks so much for making my daughter that happiest girlToday!! You really didn’t have to but what a legend! Enjoy your loan spell and hopefully see you next season 👊🏻🙌🏻,Non-toxic,
4579,@user @user Great player great man thank you 🙏,Non-toxic,
4580,"@user Rahman παληκαρι μου, στο ποδόσφαιρο συμβαίνουν αυτά. Επιτρέπεται να πέσεις, θα σηκωθείτε όμως και την Κυριακή θα δείξετε γιατί είστε πρωταθλητές. Υστερόγραφο.Πες του Ομάρ, βουνό είναι ο πουστης",Non-toxic,
4581,@user Would never judge the Egyptian king.,Non-toxic,
4582,@user jog on !!! Wait are u still injured,Non-toxic,
4583,"@user you are shit , it shows how bad aek are playing you . You couldn't finish your dinner useless",Toxic,
4584,@user @user Yer ma,Non-toxic,
4585,@user @user Ok then renew your contract ☘️,Non-toxic,
4586,@user All the best Baba for the new season,Non-toxic,
4587,@user He's proving doubters wring,Non-toxic,
4588,@user You’re more than welcome to join him.  We could do with you back in midfield.  You were fantastic in your loan spell with us.,Non-toxic,
4589,@user You’re welcome 🔥💪🏾💪🏾🙏🏽,Non-toxic,
4590,@user @user Always a spurs family member,Non-toxic,
4591,"@user @user I saw your frustration, to camera man and bottle of water 😆",Non-toxic,
4592,@user You are entertainment gold,Non-toxic,
4593,@user @user You scored Arsenal like this too. Bravo!,Non-toxic,
4594,@user Good luck in Olympiakos and ... don't get lost in Athens (by night) ;),Non-toxic,
4595,@user Stay high boss… I’m so proud of you. May the almighty Allah keep raising you higher 🙏❤️,Non-toxic,
4596,@user @user We miss you too @user 💙🩵💙🩵,Non-toxic,
4597,@user @user I'll tell you directly. You humiliated this club and us last season. This applies to all of you.,Toxic,
4598,"@user @user @user @user @user  @user @user @user @user @user just go to another club you are all rubbish with wages you have been paid, January windows is open get out.If I have left out any dead wood just add",Toxic,
4599,"@user Filip, for Panathinaikos, second place is a failure.",Non-toxic,
4600,@user Thank you for everything you gave to CITY &amp; them community!  Wishing you nothing but happiness!,Non-toxic,
4601,@user Congratulations to the crowned champions of Greece.,Non-toxic,
4602,@user Hope you’re ok Lovren. Stay safe.,Non-toxic,
4603,@user @user ITS OVER  YEAR NOW,Non-toxic,
4604,@user @user WE MISS YOU TOO KING &lt;333 YOURE WELCOME HOME ANYTIME,Non-toxic,
4605,@user Well done mad dog!!!,Non-toxic,
4606,@user @user You played a very good game today in Volos and scored a great ⚽ goal!!! Congratulations 👏👏👏You are a great player!!!☘️💚☘️💚☘️💚☘️💚☘️💚☘️💚☘️,Non-toxic,
4607,@user @user Waiting you ….,Non-toxic,
4608,@user @user Παιχταρα 💪🏽,Non-toxic,
4609,@user i still believe in you LETS GET IT ❤️,Non-toxic,
4610,@user One of us Brate ☘️,Non-toxic,
4611,@user One more tomorrow!!,Non-toxic,
4612,@user King 🐙👑,Non-toxic,
4613,@user @user Bye aq,Non-toxic,
4614,"@user you fucking legend, well done in putting Maccabi to the sword.  👏",Non-toxic,
4615,@user Κάνε αυτό που ξέρεις Παιχτούρα,Non-toxic,
4616,@user @user @user @user I can tell you where’s he’s not 😂😂,Non-toxic,
4617,@user @user ΠΑΙΧΤΑΡΑ ΜΟΥ,Non-toxic,
4618,@user @user You are a hero ⚪⚫💪✌️,Non-toxic,
4619,@user @user Proper spurs. Massively underrated!,Non-toxic,
4620,@user What a team we have for next season already.,Non-toxic,
4621,@user @user Α ωραία ξαφνικά έγινε παικταράς μετά από αυτό το ποστ. Χαζοί είστε ρε,Toxic,
4622,@user Οεεε οοεεεε οεεε ματιεεεε⚪🔴,Non-toxic,
4623,@user @user @user We love you man. You will always remembered as an eagle. Take care yourself. Good luck in your  career. 🖤🤍,Non-toxic,
4624,@user @user Μπράβο. Έτσι πρέπει να παίζεις.,Non-toxic,
4625,@user @user Good luck  eagle...,Non-toxic,
4626,@user @user we will meet again 💛💙,Non-toxic,
4627,@user @user Ρε μπεκρή ! Γόνατο την πηγές την μπελβεντερε χτες… ρούκουνα😂☘️,Toxic,
4628,@user Let’s go💪🏻,Non-toxic,
4629,@user @user Next episodeThe same YOUSo I wait for more ⚽⚽⚽⚽,Non-toxic,
4630,@user we love you coco 🫡♥️🫡♥️ COYS,Non-toxic,
4631,@user @user Great game orbelin.,Non-toxic,
4632,@user @user @user @user bestie goals… securing the bag together 💯,Non-toxic,
4633,@user Mo is a true unifiyer. We need more people like him in this world. He leads by example.,Non-toxic,
4634,@user @user Grande Willian ☘️,Non-toxic,
4635,@user @user kevol is one of us. you’re not. you’re here just for few moments. get the fuck out,Toxic,
4636,@user @user Con pajilla??? GOAT,Non-toxic,
4637,@user @user Let’s goooo! Hoping for the best in Greece,Non-toxic,
4638,@user.,Non-toxic,
4639,@user ΠΟΙΟΣ?? ΕΣΥ ΗΓΕΤΗΣ,Non-toxic,
4640,@user Looking forward to you being back at Molineux and part of the team,Non-toxic,
4641,@user We love you Babinho,Non-toxic,
4642,@user Nothing but Love and Respect 🫡,Non-toxic,
4643,@user @user @user Good luck (L),Non-toxic,
4644,@user @user Rel,Non-toxic,
4645,@user @user @user @user Such a nice video...,Non-toxic,
4646,@user to 1o match tou 2025! Go Brandon!,Non-toxic,
4647,"@user @user Man, we are all disappointed in last season, some fans react to this calm and some like Kevol are still really angry. Don't try to attack fans right now, just train hard and make atmosphere around team better on the field. Its not players vs fans, we should be in this together.",Non-toxic,
4648,@user @user Your performance was spotless. You are a PAIKTARAS!!!💛🖤,Non-toxic,
4649,@user @user Grande match !!!,Non-toxic,
4650,@user 2 μήνες έγινε αισθητή η απουσία σου και τι πόσο σημαντικός είσαι για την ομάδα. Πάμε γερά μαλάκα.,Non-toxic,
4651,@user ups,Non-toxic,
4652,@user Babiş by bye :-)),Non-toxic,
4653,"His love and his strength will always make him special, that’s why God blessed him. He knows that he is doing the right thing. So don’t judge him. Instead show the respect. God bless you Mo. 🙏🏼❤️",Non-toxic,
4654,@user @user Προσπάθησε να μη παθεις θλάση σύντομα αλλιώς μ αυτό το ροστερ δε βγαίνεις απ την εντεκάδα 😏,Non-toxic,
4655,@user go and be great ❤️,Non-toxic,
4656,@user @user @user Τι παιχταράς είσαι αγορίνα μου,Non-toxic,
4657,"@user Erik, very good luck in AEK. You will never be forgotten at Tottenham- nobody fought harder for us and that meant the world to us",Non-toxic,
4658,@user @user @user @user Great ad ♥👏🇪🇬,Non-toxic,
4659,@user Please more football and less twitter Dejan,Non-toxic,
4660,@user @user No. 6 champions jersey is still available. Join the parade,Non-toxic,
4661,@user Stay healthy champ💛🖤,Non-toxic,
4662,@user wake up man,Non-toxic,
4663,@user Get better soon ☘️☘️,Non-toxic,
4664,@user ΝΑΙ ΡΕ ΖΟΑΝ ΜΟΥΤΡΟ,Non-toxic,
4665,@user @user @user LOOOL,Non-toxic,
4666,@user Come to @user,Non-toxic,
4667,@user Please stay,Non-toxic,
4668,@user Μόνο εσύ σταυραετε μου.Όλα μου τα ταμεία εσύ 🖤,Non-toxic,
4669,"@user was a disgrace to the club in the end. @user tried but couldn’t hack it. Glad that both will be gone by next season, never came close to being a success at @user. See ya.",Toxic,
4670,@user @user @user @user Bromance 🤜🏻🤛🏻,Non-toxic,
4671,@user Congratulations bro,Non-toxic,
4672,@user Great perfomance✌!,Non-toxic,
4673,@user Cult hero 😮‍💨,Non-toxic,
4674,"@user It's not up to the @user to sanction, it's up to the public authorities. Let justice deliver its verdict. Otherwise, before trying to earn points on the green carpet, try to gain points in the green rectangle. It's more fair play @user!",Non-toxic,
4675,@user If you are fine then we are good too tai🤍🖤,Non-toxic,
4676,"@user Best of luck Aaron, hope you find a decent club 💜💙 UTV",Non-toxic,
4677,@user Goated post 👑 🇪🇬,Non-toxic,
4678,@user should be a true inspiration to every young footballer in the country. His level of consistency and longevity is unmatched. I hope a documentary or an autobiography about him will be out someday for young people to learn from. My respect Capito ❤️❤️❤️,Non-toxic,
4679,"@user Πιο πολύ από μένα σ'αγαπώ, πιο πολύ από μένα σ'αγαπώωωωωωωωω",Non-toxic,
4680,@user @user We can't wait to see you next season,Non-toxic,
4681,@user @user Γιώργος Νταλάρας η Φαντασία,Non-toxic,
4682,@user @user O Θεός δεν επεμβαίνει στη γενοκτονία Ουκρανών και Παλαιστινίων αλλά είναι βάζελος @user,Non-toxic,
4683,@user we love you to the moon and back 🖤🫂,Non-toxic,
4684,@user Proud for you,Non-toxic,
4685,"@user All the best Tish, hope you go all the way!",Non-toxic,
4686,@user Stay healthy and get back strong! We believe you! You are a great player. Pame Olympiakos,Non-toxic,
4687,@user best of luck with your future my killy 😞,Non-toxic,
4688,@user Κάνε μας τη χάρη please,Non-toxic,
4689,"@user Χρόνια πολλά, χρόνια καλά, χρόνια ευτυχισμέναΓια πάντα θα σ' ευγνωμονώ για το 61:21",Non-toxic,
4690,"@user @user Thank you for your efforts, I hope you will be very successful and happy. goodbye eagle🦅🖤",Non-toxic,
4691,@user @user Είσαι ο ηγετης μας,Non-toxic,
4692,Nothing changed. Everything will continue like nothing happened before. Well done 👏🏼,Non-toxic,
4693,"@user @user Good Luck! Best wishes. Almost forgot, we expect at least one goal against galatasaray :)",Non-toxic,
4694,@user @user Oh Dejan what have you just done,Non-toxic,
4695,@user Secof your goal u spoiled my bet,Non-toxic,
4696,@user @user Codoputane!!!!,Toxic,
4697,@user Still love Coco. 💪🏻😂😂,Non-toxic,
4698,@user @user @user @user Brilliant 👏 👏 🤣🤣🤣,Non-toxic,
4699,@user @user This  was quite funny.🤣,Non-toxic,
4700,@user @user Great defending last night!  Textbook performance!👏👏👏,Non-toxic,
4701,@user @user We all love you coco,Non-toxic,
4702,"@user @user Miss you, master",Non-toxic,
4703,@user @user We will always remember you @user .... Good luck next your carrier in Paok ... You are always in our hearts... Allah Bless you...,Non-toxic,
4704,@user Come back Aaron🤞,Non-toxic,
4705,@user @user @user @user Do you love the food?,Non-toxic,
4706,@user @user @user @user We love you in Egypt man🌹🌹🌹🌹🌹🌹🌹I guess you should apply for Egyptian passport You’re most welcomed in #Egypt brother,Non-toxic,
4707,@user @user Forever a red 🔴,Non-toxic,
4708,@user @user Γαμιά παίκτη,Toxic,
4709,@user ΚΑΤΙ ΥΠΟΣΧΕΘΗΚΕΣ FILIP!!!☘️☘️☘️,Non-toxic,
4710,@user @user We will not forget you 🦅,Non-toxic,
4711,@user Good luck👍👍👍👍,Non-toxic,
4712,@user Aslann,Non-toxic,
4713,"@user Physic Should be 100. Honesty, you can't hate. #AllForCITY.Sam's pace is MUCH faster! #FC24Ratings",Non-toxic,
4714,@user @user One of us!!!🥰😍🤩😘,Non-toxic,
4715,@user Wake up idolo please 🙏🙏🙏,Non-toxic,
